"","country","emi","rel.unc.min","rel.unc.max","sector","L1"
"2648","CMR",1545.34,1.22511362224882,1.22511362224882,"4.A","CH4"
"2649","COD",3881.25,1.22511362224882,1.22511362224882,"4.A","CH4"
"2650","COG",299.8075,1.22511362224882,1.22511362224882,"4.A","CH4"
"2651","COL",13691.1,1.22511362224882,1.22511362224882,"4.A","CH4"
"2652","COM",79.55025,1.22511362224882,1.22511362224882,"4.A","CH4"
"2653","CPV",29.79575,1.22511362224882,1.22511362224882,"4.A","CH4"
"2654","CRI",1307.7275,1.22511362224882,1.22511362224882,"4.A","CH4"
"2655","CUB",3276.175,1.22511362224882,1.22511362224882,"4.A","CH4"
"2656","CYM",13.53885,1.22511362224882,1.22511362224882,"4.A","CH4"
"2657","CYP",332.34,0.35,0.35,"4.A","CH4"
"2658","CZE",3254.45,0.35,0.35,"4.A","CH4"
"2659","DEU",9050,0.35,0.35,"4.A","CH4"
"2660","DJI",296.0225,1.22511362224882,1.22511362224882,"4.A","CH4"
"2661","DMA",19.331425,1.22511362224882,1.22511362224882,"4.A","CH4"
"2662","DNK",657.025,0.35,0.35,"4.A","CH4"
"2663","DOM",2755.5,1.22511362224882,1.22511362224882,"4.A","CH4"
"2664","DZA",11560.675,1.22511362224882,1.22511362224882,"4.A","CH4"
"2665","ECU",2927.475,1.22511362224882,1.22511362224882,"4.A","CH4"
"2666","EGY",6585.425,1.22511362224882,1.22511362224882,"4.A","CH4"
"2667","ERI",183.249,1.22511362224882,1.22511362224882,"4.A","CH4"
"2668","ESH",116.174,1.22511362224882,1.22511362224882,"4.A","CH4"
"2669","ESP",12154.275,0.35,0.35,"4.A","CH4"
"2670","EST",950.18,0.35,0.35,"4.A","CH4"
"2671","ETH",1701.7925,1.22511362224882,1.22511362224882,"4.A","CH4"
"2672","FIN",7073.775,0.35,0.35,"4.A","CH4"
"2673","FJI",271.6375,1.22511362224882,1.22511362224882,"4.A","CH4"
"2674","FLK",0.5730675,1.22511362224882,1.22511362224882,"4.A","CH4"
"2675","FRA",12047.85,0.35,0.35,"4.A","CH4"
"2676","FRO",17.2063,0.35,0.35,"4.A","CH4"
"2677","GAB",113.55,1.22511362224882,1.22511362224882,"4.A","CH4"
"2678","GBR",5578.05,0.35,0.35,"4.A","CH4"
"2679","GEO",1134.4825,0.35,0.35,"4.A","CH4"
"2680","GHA",315.5175,1.22511362224882,1.22511362224882,"4.A","CH4"
"2681","GIB",10.82615,0.35,0.35,"4.A","CH4"
"2682","GIN",679.325,1.22511362224882,1.22511362224882,"4.A","CH4"
"2683","GLP",52.082,1.22511362224882,1.22511362224882,"4.A","CH4"
"2684","GMB",80.379,1.22511362224882,1.22511362224882,"4.A","CH4"
"2685","GNB",114.665,1.22511362224882,1.22511362224882,"4.A","CH4"
"2686","GNQ",66.9795,1.22511362224882,1.22511362224882,"4.A","CH4"
"2687","GRC",3921.65,0.35,0.35,"4.A","CH4"
"2688","GRD",24.530925,1.22511362224882,1.22511362224882,"4.A","CH4"
"2689","GRL",45.54125,0.35,0.35,"4.A","CH4"
"2690","GTM",4595.475,1.22511362224882,1.22511362224882,"4.A","CH4"
"2691","GUF",28.63025,1.22511362224882,1.22511362224882,"4.A","CH4"
"2692","GUM",21.800775,1.22511362224882,1.22511362224882,"4.A","CH4"
"2693","GUY",297.4375,1.22511362224882,1.22511362224882,"4.A","CH4"
"2694","HKG",3512.15,1.22511362224882,1.22511362224882,"4.A","CH4"
"2695","HND",1971.6225,1.22511362224882,1.22511362224882,"4.A","CH4"
"2696","HRV",1066.7675,0.35,0.35,"4.A","CH4"
"2697","HTI",353.3675,1.22511362224882,1.22511362224882,"4.A","CH4"
"2698","HUN",1307.105,0.35,0.35,"4.A","CH4"
"2699","IDN",10378.55,1.22511362224882,1.22511362224882,"4.A","CH4"
"2700","IMN",32.83425,0.35,0.35,"4.A","CH4"
"2701","IND",12414.775,1.22511362224882,1.22511362224882,"4.A","CH4"
"2702","IRL",341.6325,0.35,0.35,"4.A","CH4"
"2703","IRN",3130.35,1.22511362224882,1.22511362224882,"4.A","CH4"
"2704","IRQ",7476.975,1.22511362224882,1.22511362224882,"4.A","CH4"
"2705","ISL",207.50025,0.35,0.35,"4.A","CH4"
"2706","ISR",4367.675,1.22511362224882,1.22511362224882,"4.A","CH4"
"2707","ITA",10574.65,0.35,0.35,"4.A","CH4"
"2708","JAM",95.3795,1.22511362224882,1.22511362224882,"4.A","CH4"
"2709","JOR",2937.75,1.22511362224882,1.22511362224882,"4.A","CH4"
"2710","JPN",2835.75,0.35,0.35,"4.A","CH4"
"2711","KAZ",2553.675,0.35,0.35,"4.A","CH4"
"2712","KEN",785.1425,1.22511362224882,1.22511362224882,"4.A","CH4"
"2713","KGZ",370.085,0.35,0.35,"4.A","CH4"
"2714","KHM",458.4375,1.22511362224882,1.22511362224882,"4.A","CH4"
"2715","KIR",7.65395,1.22511362224882,1.22511362224882,"4.A","CH4"
"2716","KNA",23.0543,1.22511362224882,1.22511362224882,"4.A","CH4"
"2717","KOR",3114.825,0.35,0.35,"4.A","CH4"
"2718","KWT",7086.125,1.22511362224882,1.22511362224882,"4.A","CH4"
"2719","LAO",88.46575,1.22511362224882,1.22511362224882,"4.A","CH4"
"2720","LBN",2464.5625,1.22511362224882,1.22511362224882,"4.A","CH4"
"2721","LBR",240.41075,1.22511362224882,1.22511362224882,"4.A","CH4"
"2722","LBY",1695.29,1.22511362224882,1.22511362224882,"4.A","CH4"
"2723","LCA",21.218025,1.22511362224882,1.22511362224882,"4.A","CH4"
"2724","LKA",3002.575,1.22511362224882,1.22511362224882,"4.A","CH4"
"2725","LSO",63.39525,1.22511362224882,1.22511362224882,"4.A","CH4"
"2726","LTU",761.8525,0.35,0.35,"4.A","CH4"
"2727","LUX",16.026025,0.35,0.35,"4.A","CH4"
"2728","LVA",582.1475,0.35,0.35,"4.A","CH4"
"2729","MAC",18.387675,1.22511362224882,1.22511362224882,"4.A","CH4"
"2730","MAR",13228.4,1.22511362224882,1.22511362224882,"4.A","CH4"
"2731","MDA",502.6575,0.35,0.35,"4.A","CH4"
"2732","MDG",776.495,1.22511362224882,1.22511362224882,"4.A","CH4"
"2733","MDV",82.9635,1.22511362224882,1.22511362224882,"4.A","CH4"
"2734","MEX",43666.75,0.35,0.35,"4.A","CH4"
"2735","MKD",292.01,0.35,0.35,"4.A","CH4"
"2736","MLI",384.1825,1.22511362224882,1.22511362224882,"4.A","CH4"
"2737","MLT",69.33825,0.35,0.35,"4.A","CH4"
"2738","MMR",1001.9525,1.22511362224882,1.22511362224882,"4.A","CH4"
"2739","MNG",243.51825,1.22511362224882,1.22511362224882,"4.A","CH4"
"2740","MOZ",399.355,1.22511362224882,1.22511362224882,"4.A","CH4"
"2741","MRT",304.0175,1.22511362224882,1.22511362224882,"4.A","CH4"
"2742","MSR",0.09641975,1.22511362224882,1.22511362224882,"4.A","CH4"
"2743","MTQ",42.022,1.22511362224882,1.22511362224882,"4.A","CH4"
"2744","MUS",377.315,1.22511362224882,1.22511362224882,"4.A","CH4"
"2745","MWI",277.005,1.22511362224882,1.22511362224882,"4.A","CH4"
"2746","MYS",6155.2,1.22511362224882,1.22511362224882,"4.A","CH4"
"2747","NAM",124.7935,1.22511362224882,1.22511362224882,"4.A","CH4"
"2748","NCL",29.92225,1.22511362224882,1.22511362224882,"4.A","CH4"
"2749","NER",134.29175,1.22511362224882,1.22511362224882,"4.A","CH4"
"2750","NGA",10852.675,1.22511362224882,1.22511362224882,"4.A","CH4"
"2751","NIC",778.4675,1.22511362224882,1.22511362224882,"4.A","CH4"
"2752","NLD",2974.05,0.35,0.35,"4.A","CH4"
"2753","NOR",1099.3225,0.35,0.35,"4.A","CH4"
"2754","NPL",98.59025,1.22511362224882,1.22511362224882,"4.A","CH4"
"2755","NRU",1.9860625,1.22511362224882,1.22511362224882,"4.A","CH4"
"2756","NZL",3525.9,0.35,0.35,"4.A","CH4"
"2757","OMN",855.8575,1.22511362224882,1.22511362224882,"4.A","CH4"
"2758","PAK",9899.75,1.22511362224882,1.22511362224882,"4.A","CH4"
"2759","PAN",965.0075,1.22511362224882,1.22511362224882,"4.A","CH4"
"2760","PER",5011.95,1.22511362224882,1.22511362224882,"4.A","CH4"
"2761","PHL",3783.6,1.22511362224882,1.22511362224882,"4.A","CH4"
"2762","PNG",104.48175,1.22511362224882,1.22511362224882,"4.A","CH4"
"2763","POL",4062,0.35,0.35,"4.A","CH4"
"2764","PRI",903.2575,1.22511362224882,1.22511362224882,"4.A","CH4"
"2765","PRK",2382.54,1.22511362224882,1.22511362224882,"4.A","CH4"
"2766","PRT",1976.0075,0.35,0.35,"4.A","CH4"
"2767","PRY",202.03825,1.22511362224882,1.22511362224882,"4.A","CH4"
"2768","PYF",25.6095,1.22511362224882,1.22511362224882,"4.A","CH4"
"2769","QAT",1069.9725,1.22511362224882,1.22511362224882,"4.A","CH4"
"2770","REU",39.15325,1.22511362224882,1.22511362224882,"4.A","CH4"
"2771","ROU",5569.1,0.35,0.35,"4.A","CH4"
"2772","RUS",64635.5,0.35,0.35,"4.A","CH4"
